City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port hawkesbury,45.6169,-61.3485,30.18,67,20,13.8,CA,1678052615
1,bluff,-46.6,168.3333,53.8,69,37,6.55,NZ,1678052615
2,basco,20.4487,121.9702,71.11,64,100,21.63,PH,1678052616
3,sinegorye,62.0788,150.477,-20.43,92,91,0.65,RU,1678052617
4,lebu,-37.6167,-73.65,63.39,85,5,9.57,CL,1678052617
5,saint george,37.1041,-113.5841,56.95,30,0,10.36,US,1678052461
6,priargunsk,50.3691,119.1012,-0.67,96,57,3.74,RU,1678052618
7,warrnambool,-38.3833,142.4833,58.86,77,79,15.52,AU,1678052373
8,faanui,-16.4833,-151.75,83.43,72,91,17.85,PF,1678052619
9,mandalgovi,45.7625,106.2708,30.74,32,2,7.61,MN,1678052619
10,laguna,38.421,-121.4238,56.14,54,0,13.8,US,1678052515
11,qaanaaq,77.484,-69.3632,25.97,69,100,2.93,GL,1678052620
12,teguise,29.0605,-13.564,61.02,77,20,5.75,ES,1678052620
13,punta arenas,-53.15,-70.9167,48.31,71,0,19.57,CL,1678052512
14,moose factory,51.2585,-80.6094,35.6,55,40,6.91,CA,1678052621
15,ushuaia,-54.8,-68.3,42.46,87,100,2.3,AR,1678052621
16,thompson,55.7435,-97.8558,6.96,61,75,9.22,CA,1678052622
17,champerico,14.3,-91.9167,97.34,63,1,13.13,GT,1678052622
18,ergani,38.2653,39.7621,48.42,72,100,7.76,TR,1678052623
19,codrington,-38.2667,141.9667,57.4,79,70,10.45,AU,1678052623
20,nalut,30.3333,10.85,51.57,27,62,4.41,LY,1678052624
21,rikitea,-23.1203,-134.9692,79.9,74,100,21.88,PF,1678052624
22,boa vista,2.8197,-60.6733,87.78,48,40,12.66,BR,1678052624
23,kapaa,22.0752,-159.319,76.98,83,100,12.66,US,1678052625
24,cape town,-33.9258,18.4232,65.1,91,100,17.27,ZA,1678052400
25,esperance,-33.8667,121.9,64.08,68,94,14.0,AU,1678052625
